TIMESTAMP: 0.000000, X: 7.594647, Y: -0.576385, Z: 2.558689, PITCH: -0.421851, YAW: -1.366641
TIMESTAMP: 0.100000, X: 7.594644, Y: -0.576384, Z: 2.558692, PITCH: -0.424272, YAW: -1.374486
TIMESTAMP: 0.200000, X: 7.594608, Y: -0.576367, Z: 2.558744, PITCH: -0.437203, YAW: -1.416377
TIMESTAMP: 0.300000, X: 7.594458, Y: -0.576298, Z: 2.558960, PITCH: -0.448758, YAW: -1.453780
TIMESTAMP: 0.400000, X: 7.594069, Y: -0.576122, Z: 2.559518, PITCH: -0.452556, YAW: -1.466114
TIMESTAMP: 0.500000, X: 7.593281, Y: -0.575771, Z: 2.560645, PITCH: -0.458012, YAW: -1.483827
TIMESTAMP: 0.600000, X: 7.591907, Y: -0.575166, Z: 2.562603, PITCH: -0.467908, YAW: -1.515850
TIMESTAMP: 0.700000, X: 7.589739, Y: -0.574224, Z: 2.565685, PITCH: -0.476789, YAW: -1.544573
TIMESTAMP: 0.800000, X: 7.586552, Y: -0.572861, Z: 2.570199, PITCH: -0.483260, YAW: -1.565587
TIMESTAMP: 0.900000, X: 7.582115, Y: -0.570993, Z: 2.576461, PITCH: -0.490290, YAW: -1.588401
TIMESTAMP: 1.000000, X: 7.576194, Y: -0.568541, Z: 2.584791, PITCH: -0.498613, YAW: -1.615323
TIMESTAMP: 1.100000, X: 7.568553, Y: -0.565435, Z: 2.595497, PITCH: -0.506635, YAW: -1.641277
TIMESTAMP: 1.200000, X: 7.558966, Y: -0.561612, Z: 2.608880, PITCH: -0.513965, YAW: -1.665059
TIMESTAMP: 1.300000, X: 7.547215, Y: -0.557023, Z: 2.625217, PITCH: -0.521457, YAW: -1.689354
TIMESTAMP: 1.400000, X: 7.533095, Y: -0.551631, Z: 2.644765, PITCH: -0.529318, YAW: -1.714796
TIMESTAMP: 1.500000, X: 7.516416, Y: -0.545413, Z: 2.667753, PITCH: -0.537093, YAW: -1.739965
TIMESTAMP: 1.600000, X: 7.497010, Y: -0.538364, Z: 2.694375, PITCH: -0.544670, YAW: -1.764532
TIMESTAMP: 1.700000, X: 7.474727, Y: -0.530495, Z: 2.724796, PITCH: -0.552294, YAW: -1.789242
TIMESTAMP: 1.800000, X: 7.449441, Y: -0.521836, Z: 2.759141, PITCH: -0.560023, YAW: -1.814269
TIMESTAMP: 1.900000, X: 7.421049, Y: -0.512432, Z: 2.797497, PITCH: -0.567727, YAW: -1.839220
TIMESTAMP: 2.000000, X: 7.389475, Y: -0.502349, Z: 2.839913, PITCH: -0.575375, YAW: -1.864005
TIMESTAMP: 2.100000, X: 7.354666, Y: -0.491672, Z: 2.886396, PITCH: -0.583036, YAW: -1.888830
TIMESTAMP: 2.200000, X: 7.316599, Y: -0.480503, Z: 2.936914, PITCH: -0.590728, YAW: -1.913741
