TIMESTAMP: 0.000000, X: -3.083188, Y: 17.841693, Z: -11.000000, PITCH: -0.056268, YAW: -0.863038
TIMESTAMP: 0.100000, X: -3.083188, Y: 17.841693, Z: -10.999999, PITCH: -0.056440, YAW: -0.865682
TIMESTAMP: 0.200000, X: -3.083193, Y: 17.841692, Z: -10.999991, PITCH: -0.057360, YAW: -0.879796
TIMESTAMP: 0.300000, X: -3.083212, Y: 17.841684, Z: -10.999958, PITCH: -0.058183, YAW: -0.892409
TIMESTAMP: 0.400000, X: -3.083262, Y: 17.841664, Z: -10.999870, PITCH: -0.058453, YAW: -0.896555
TIMESTAMP: 0.500000, X: -3.083365, Y: 17.841623, Z: -10.999689, PITCH: -0.058841, YAW: -0.902511
TIMESTAMP: 0.600000, X: -3.083548, Y: 17.841549, Z: -10.999371, PITCH: -0.059546, YAW: -0.913313
TIMESTAMP: 0.700000, X: -3.083845, Y: 17.841429, Z: -10.998862, PITCH: -0.060178, YAW: -0.923007
TIMESTAMP: 0.800000, X: -3.084291, Y: 17.841247, Z: -10.998104, PITCH: -0.060638, YAW: -0.930071
TIMESTAMP: 0.900000, X: -3.084927, Y: 17.840988, Z: -10.997034, PITCH: -0.061138, YAW: -0.937744
TIMESTAMP: 1.000000, X: -3.085796, Y: 17.840632, Z: -10.995588, PITCH: -0.061731, YAW: -0.946829
TIMESTAMP: 1.100000, X: -3.086944, Y: 17.840159, Z: -10.993695, PITCH: -0.062302, YAW: -0.955585
TIMESTAMP: 1.200000, X: -3.088422, Y: 17.839549, Z: -10.991286, PITCH: -0.062823, YAW: -0.963587
TIMESTAMP: 1.300000, X: -3.090279, Y: 17.838777, Z: -10.988290, PITCH: -0.063356, YAW: -0.971764
TIMESTAMP: 1.400000, X: -3.092569, Y: 17.837822, Z: -10.984636, PITCH: -0.063916, YAW: -0.980345
TIMESTAMP: 1.500000, X: -3.095347, Y: 17.836659, Z: -10.980254, PITCH: -0.064469, YAW: -0.988832
TIMESTAMP: 1.600000, X: -3.098666, Y: 17.835262, Z: -10.975076, PITCH: -0.065009, YAW: -0.997103
TIMESTAMP: 1.700000, X: -3.102584, Y: 17.833606, Z: -10.969034, PITCH: -0.065551, YAW: -1.005425
TIMESTAMP: 1.800000, X: -3.107157, Y: 17.831664, Z: -10.962065, PITCH: -0.066101, YAW: -1.013861
TIMESTAMP: 1.900000, X: -3.112440, Y: 17.829410, Z: -10.954107, PITCH: -0.066649, YAW: -1.022271
TIMESTAMP: 2.000000, X: -3.118491, Y: 17.826816, Z: -10.945105, PITCH: -0.067194, YAW: -1.030619
TIMESTAMP: 2.100000, X: -3.125364, Y: 17.823856, Z: -10.935004, PITCH: -0.067739, YAW: -1.038982
TIMESTAMP: 2.200000, X: -3.133114, Y: 17.820502, Z: -10.923757, PITCH: -0.068286, YAW: -1.047378
TIMESTAMP: 2.300000, X: -3.141795, Y: 17.816728, Z: -10.911319, PITCH: -0.068833, YAW: -1.055765
TIMESTAMP: 2.400000, X: -3.151458, Y: 17.812505, Z: -10.897652, PITCH: -0.069379, YAW: -1.064136
TIMESTAMP: 2.500000, X: -3.162156, Y: 17.807809, Z: -10.882722, PITCH: -0.069925, YAW: -1.072510
TIMESTAMP: 2.600000, X: -3.173936, Y: 17.802611, Z: -10.866503, PITCH: -0.070471, YAW: -1.080894
TIMESTAMP: 2.700000, X: -3.186845, Y: 17.796886, Z: -10.848972, PITCH: -0.071018, YAW: -1.089275
TIMESTAMP: 2.800000, X: -3.200929, Y: 17.790609, Z: -10.830113, PITCH: -0.071564, YAW: -1.097652
TIMESTAMP: 2.900000, X: -3.216229, Y: 17.783755, Z: -10.809917, PITCH: -0.072110, YAW: -1.106030
TIMESTAMP: 3.000000, X: -3.232785, Y: 17.776300, Z: -10.788380, PITCH: -0.072657, YAW: -1.114410
TIMESTAMP: 3.100000, X: -3.250635, Y: 17.768221, Z: -10.765504, PITCH: -0.073203, YAW: -1.122790
TIMESTAMP: 3.200000, X: -3.269811, Y: 17.759495, Z: -10.741297, PITCH: -0.073749, YAW: -1.131168
TIMESTAMP: 3.300000, X: -3.290346, Y: 17.750101, Z: -10.715774, PITCH: -0.074296, YAW: -1.139547
TIMESTAMP: 3.400000, X: -3.312268, Y: 17.740018, Z: -10.688956, PITCH: -0.074842, YAW: -1.147926
TIMESTAMP: 3.500000, X: -3.335601, Y: 17.729228, Z: -10.660869, PITCH: -0.075388, YAW: -1.156306
TIMESTAMP: 3.600000, X: -3.360366, Y: 17.717711, Z: -10.631546, PITCH: -0.075934, YAW: -1.164684
TIMESTAMP: 3.700000, X: -3.386581, Y: 17.705452, Z: -10.601024, PITCH: -0.076481, YAW: -1.173063
TIMESTAMP: 3.800000, X: -3.414260, Y: 17.692434, Z: -10.569348, PITCH: -0.077027, YAW: -1.181443
TIMESTAMP: 3.900000, X: -3.443415, Y: 17.678642, Z: -10.536566, PITCH: -0.077573, YAW: -1.189822
TIMESTAMP: 4.000000, X: -3.474051, Y: 17.664064, Z: -10.502732, PITCH: -0.078120, YAW: -1.198201
TIMESTAMP: 4.100000, X: -3.506172, Y: 17.648689, Z: -10.467905, PITCH: -0.078666, YAW: -1.206580
TIMESTAMP: 4.200000, X: -3.539778, Y: 17.632505, Z: -10.432148, PITCH: -0.079212, YAW: -1.214959
TIMESTAMP: 4.300000, X: -3.574862, Y: 17.615505, Z: -10.395529, PITCH: -0.079758, YAW: -1.223338
TIMESTAMP: 4.400000, X: -3.611418, Y: 17.597681, Z: -10.358121, PITCH: -0.080305, YAW: -1.231717
TIMESTAMP: 4.500000, X: -3.649432, Y: 17.579027, Z: -10.319997, PITCH: -0.080851, YAW: -1.240096
TIMESTAMP: 4.600000, X: -3.688887, Y: 17.559541, Z: -10.281237, PITCH: -0.081397, YAW: -1.248475
TIMESTAMP: 4.700000, X: -3.729764, Y: 17.539218, Z: -10.241924, PITCH: -0.081944, YAW: -1.256854
TIMESTAMP: 4.800000, X: -3.772038, Y: 17.518059, Z: -10.202141, PITCH: -0.082490, YAW: -1.265233
TIMESTAMP: 4.900000, X: -3.815680, Y: 17.496065, Z: -10.161975, PITCH: -0.083036, YAW: -1.273612
TIMESTAMP: 5.000000, X: -3.860659, Y: 17.473238, Z: -10.121514, PITCH: -0.083583, YAW: -1.281991
TIMESTAMP: 5.100000, X: -3.906937, Y: 17.449582, Z: -10.080851, PITCH: -0.084129, YAW: -1.290370
TIMESTAMP: 5.200000, X: -3.954475, Y: 17.425105, Z: -10.040074, PITCH: -0.084675, YAW: -1.298749
TIMESTAMP: 5.300000, X: -4.003229, Y: 17.399812, Z: -9.999277, PITCH: -0.085221, YAW: -1.307128
TIMESTAMP: 5.400000, X: -4.053150, Y: 17.373715, Z: -9.958553, PITCH: -0.085768, YAW: -1.315507
TIMESTAMP: 5.500000, X: -4.104188, Y: 17.346823, Z: -9.917992, PITCH: -0.086314, YAW: -1.323887
TIMESTAMP: 5.600000, X: -4.156287, Y: 17.319150, Z: -9.877688, PITCH: -0.086860, YAW: -1.332266
TIMESTAMP: 5.700000, X: -4.209387, Y: 17.290711, Z: -9.837731, PITCH: -0.087407, YAW: -1.340645
TIMESTAMP: 5.800000, X: -4.263427, Y: 17.261522, Z: -9.798210, PITCH: -0.087953, YAW: -1.349024
TIMESTAMP: 5.900000, X: -4.318340, Y: 17.231600, Z: -9.759214, PITCH: -0.088499, YAW: -1.357403
TIMESTAMP: 6.000000, X: -4.374057, Y: 17.200965, Z: -9.720827, PITCH: -0.089045, YAW: -1.365782
TIMESTAMP: 6.100000, X: -4.430505, Y: 17.169639, Z: -9.683133, PITCH: -0.089592, YAW: -1.374161
TIMESTAMP: 6.200000, X: -4.487608, Y: 17.137645, Z: -9.646212, PITCH: -0.090138, YAW: -1.382540
TIMESTAMP: 6.300000, X: -4.545287, Y: 17.105005, Z: -9.610140, PITCH: -0.090684, YAW: -1.390919
TIMESTAMP: 6.400000, X: -4.603459, Y: 17.071748, Z: -9.574991, PITCH: -0.091231, YAW: -1.399298
TIMESTAMP: 6.500000, X: -4.662040, Y: 17.037899, Z: -9.540831, PITCH: -0.091777, YAW: -1.407677
TIMESTAMP: 6.600000, X: -4.720942, Y: 17.003488, Z: -9.507727, PITCH: -0.092323, YAW: -1.416056
TIMESTAMP: 6.700000, X: -4.780073, Y: 16.968545, Z: -9.475736, PITCH: -0.092869, YAW: -1.424435
