TIMESTAMP: 0.000000, X: -0.884703, Y: 4.462771, Z: -0.593644, PITCH: 0.062441, YAW: 0.735715
TIMESTAMP: 0.100000, X: -0.884705, Y: 4.462775, Z: -0.593645, PITCH: 0.062776, YAW: 0.739662
TIMESTAMP: 0.200000, X: -0.884733, Y: 4.462824, Z: -0.593646, PITCH: 0.064564, YAW: 0.760736
TIMESTAMP: 0.300000, X: -0.884853, Y: 4.463031, Z: -0.593652, PITCH: 0.066163, YAW: 0.779565
TIMESTAMP: 0.400000, X: -0.885163, Y: 4.463569, Z: -0.593667, PITCH: 0.066688, YAW: 0.785757
TIMESTAMP: 0.500000, X: -0.885788, Y: 4.464663, Z: -0.593699, PITCH: 0.067443, YAW: 0.794653
TIMESTAMP: 0.600000, X: -0.886878, Y: 4.466578, Z: -0.593758, PITCH: 0.068811, YAW: 0.810778
TIMESTAMP: 0.700000, X: -0.888595, Y: 4.469615, Z: -0.593854, PITCH: 0.070040, YAW: 0.825248
TIMESTAMP: 0.800000, X: -0.891113, Y: 4.474098, Z: -0.594000, PITCH: 0.070935, YAW: 0.835799
TIMESTAMP: 0.900000, X: -0.894611, Y: 4.480367, Z: -0.594213, PITCH: 0.071907, YAW: 0.847259
TIMESTAMP: 1.000000, X: -0.899269, Y: 4.488773, Z: -0.594509, PITCH: 0.073059, YAW: 0.860820
TIMESTAMP: 1.100000, X: -0.905265, Y: 4.499672, Z: -0.594906, PITCH: 0.074168, YAW: 0.873891
TIMESTAMP: 1.200000, X: -0.912767, Y: 4.513414, Z: -0.595425, PITCH: 0.075182, YAW: 0.885841
TIMESTAMP: 1.300000, X: -0.921935, Y: 4.530344, Z: -0.596086, PITCH: 0.076218, YAW: 0.898053
TIMESTAMP: 1.400000, X: -0.932915, Y: 4.550792, Z: -0.596915, PITCH: 0.077306, YAW: 0.910862
TIMESTAMP: 1.500000, X: -0.945839, Y: 4.575071, Z: -0.597934, PITCH: 0.078381, YAW: 0.923532
TIMESTAMP: 1.600000, X: -0.960816, Y: 4.603475, Z: -0.599169, PITCH: 0.079429, YAW: 0.935883
TIMESTAMP: 1.700000, X: -0.977940, Y: 4.636269, Z: -0.600647, PITCH: 0.080484, YAW: 0.948309
TIMESTAMP: 1.800000, X: -0.997281, Y: 4.673695, Z: -0.602396, PITCH: 0.081553, YAW: 0.960905
TIMESTAMP: 1.900000, X: -1.018886, Y: 4.715962, Z: -0.604442, PITCH: 0.082619, YAW: 0.973460
TIMESTAMP: 2.000000, X: -1.042777, Y: 4.763248, Z: -0.606816, PITCH: 0.083676, YAW: 0.985926
TIMESTAMP: 2.100000, X: -1.068953, Y: 4.815695, Z: -0.609547, PITCH: 0.084736, YAW: 0.998412
TIMESTAMP: 2.200000, X: -1.097386, Y: 4.873411, Z: -0.612664, PITCH: 0.085800, YAW: 1.010947
TIMESTAMP: 2.300000, X: -1.128022, Y: 4.936469, Z: -0.616196, PITCH: 0.086863, YAW: 1.023470
TIMESTAMP: 2.400000, X: -1.160784, Y: 5.004902, Z: -0.620174, PITCH: 0.087924, YAW: 1.035968
TIMESTAMP: 2.500000, X: -1.195566, Y: 5.078709, Z: -0.624627, PITCH: 0.088985, YAW: 1.048472
TIMESTAMP: 2.600000, X: -1.232239, Y: 5.157848, Z: -0.629585, PITCH: 0.090047, YAW: 1.060989
TIMESTAMP: 2.700000, X: -1.270649, Y: 5.242243, Z: -0.635077, PITCH: 0.091109, YAW: 1.073503
TIMESTAMP: 2.800000, X: -1.310618, Y: 5.331782, Z: -0.641130, PITCH: 0.092171, YAW: 1.086010
TIMESTAMP: 2.900000, X: -1.351947, Y: 5.426315, Z: -0.647773, PITCH: 0.093232, YAW: 1.098519
TIMESTAMP: 3.000000, X: -1.394414, Y: 5.525660, Z: -0.655032, PITCH: 0.094294, YAW: 1.111031
TIMESTAMP: 3.100000, X: -1.437776, Y: 5.629601, Z: -0.662933, PITCH: 0.095356, YAW: 1.123543
TIMESTAMP: 3.200000, X: -1.481773, Y: 5.737892, Z: -0.671500, PITCH: 0.096418, YAW: 1.136052
TIMESTAMP: 3.300000, X: -1.526126, Y: 5.850256, Z: -0.680757, PITCH: 0.097480, YAW: 1.148562
TIMESTAMP: 3.400000, X: -1.570544, Y: 5.966389, Z: -0.690725, PITCH: 0.098541, YAW: 1.161073
TIMESTAMP: 3.500000, X: -1.614718, Y: 6.085963, Z: -0.701425, PITCH: 0.099603, YAW: 1.173586
TIMESTAMP: 3.600000, X: -1.658330, Y: 6.208625, Z: -0.712874, PITCH: 0.100665, YAW: 1.186095
