TIMESTAMP: 0.000000, X: -1.473463, Y: 15.804052, Z: -5.818537, PITCH: -0.294713, YAW: -1.613926
TIMESTAMP: 0.500000, X: -1.473043, Y: 15.804468, Z: -5.819381, PITCH: -0.269837, YAW: -1.633085
TIMESTAMP: 1.000000, X: -1.467152, Y: 15.809842, Z: -5.830407, PITCH: -0.241906, YAW: -1.654596
TIMESTAMP: 1.500000, X: -1.443527, Y: 15.829431, Z: -5.871099, PITCH: -0.215435, YAW: -1.674983
TIMESTAMP: 2.000000, X: -1.385036, Y: 15.873002, Z: -5.963036, PITCH: -0.189100, YAW: -1.695265
TIMESTAMP: 2.500000, X: -1.272222, Y: 15.947600, Z: -6.123573, PITCH: -0.162699, YAW: -1.715597
TIMESTAMP: 3.000000, X: -1.085576, Y: 16.055623, Z: -6.361969, PITCH: -0.136293, YAW: -1.735934
TIMESTAMP: 3.500000, X: -0.807509, Y: 16.194009, Z: -6.677603, PITCH: -0.109890, YAW: -1.756269
TIMESTAMP: 4.000000, X: -0.424008, Y: 16.354360, Z: -7.059934, PITCH: -0.083487, YAW: -1.776603
TIMESTAMP: 4.500000, X: 0.074019, Y: 16.523791, Z: -7.489828, PITCH: -0.057083, YAW: -1.796938
TIMESTAMP: 5.000000, X: 0.689757, Y: 16.686321, Z: -7.941911, PITCH: -0.030680, YAW: -1.817272
TIMESTAMP: 5.500000, X: 1.419844, Y: 16.824625, Z: -8.387596, PITCH: -0.004290, YAW: -1.837595
TIMESTAMP: 6.000000, X: 2.254104, Y: 16.921932, Z: -8.798402, PITCH: 0.022127, YAW: -1.857942
TIMESTAMP: 6.500000, X: 3.175673, Y: 16.963897, Z: -9.149239, PITCH: 0.048842, YAW: -1.878538
TIMESTAMP: 7.000000, X: 4.161520, Y: 16.940252, Z: -9.421286, PITCH: 0.072669, YAW: -1.896712
TIMESTAMP: 7.500000, X: 5.183392, Y: 16.846031, Z: -9.604100, PITCH: 0.066334, YAW: -1.889585
TIMESTAMP: 8.000000, X: 6.209183, Y: 16.682207, Z: -9.696646, PITCH: 0.060976, YAW: -1.883278
TIMESTAMP: 8.500000, X: 7.204699, Y: 16.455643, Z: -9.707052, PITCH: 0.055872, YAW: -1.877184
TIMESTAMP: 9.000000, X: 8.135707, Y: 16.178420, Z: -9.651266, PITCH: 0.050740, YAW: -1.871067
